id_desa,nama_desa,id_kecamatan,id_kabupaten
716,JUKU BATU,191,13
717,JUKU KEMUNING,197,13
718,KACAMARGA,149,10
719,KACAPURA,161,10
720,KAGUNGAN,156,10
721,KAGUNGAN DALAM,113,6
722,KAGUNGAN JAYA,183,12
723,KAGUNGAN RAHAYU,173,11
724,KAGUNGAN RATU,118,7
725,KAGUNGAN RATU,187,12
726,KAHURIPAN DALAM,174,11
727,KAHURIPAN JAYA,167,11
728,KALI ASIN,29,2
729,KALI DADI,42,3
730,KALI PAPAN,199,13
731,KALI PASIR,82,4
732,KALI SARI,23,2
733,KALIANDA,19,2
734,KALIAWI,200,13
735,KALIAWI,218,14
736,KALIAWI INDAH,200,13
737,KALIAWI PERSADA,218,14
738,KALIBALANGAN,88,5
739,KALIBALAU KENCANA,207,14
740,KALIBENING,76,4
741,KALIBENING,163,10
742,KALIBENING RAYA,88,5
743,KALICINTA,100,5
744,KALIMIRING,155,10
745,KALIREJO,24,2
746,KALIREJO,42,3
747,KALIREJO,118,7
748,KALIREJO,165,10
749,KALISARI,42,3
750,KALISARI,165,10
751,KALIWUNGU,42,3
752,KAMPLAS,85,5
753,KAMPUNG BARU,25,2
754,KAMPUNG BARU,117,7
755,KAMPUNG BARU,156,10
756,KAMPUNG BARU,158,10
757,KAMPUNG BARU,197,13
758,KAMPUNG BARU,210,14
759,KAMPUNG BARU RAYA,210,14
760,KAMPUNG JAWA,133,8
761,KANDANG BESI,155,10
762,KANGKUNG,205,14
763,KANOMAN,161,10
764,KANYANGAN,155,10
765,KARANG AGUNG,15,1
766,KARANG AGUNG,99,5
767,KARANG AGUNG,161,10
768,KARANG AGUNG,201,13
769,KARANG ANOM,83,4
770,KARANG ANYAR,18,2
771,KARANG ANYAR,49,3
772,KARANG ANYAR,68,4
773,KARANG ANYAR,165,10
774,KARANG BRAK,158,10
775,KARANG BUAH,149,10
776,KARANG ENDAH,56,3
777,KARANG JAWA,33,3
778,KARANG JAYA,22,2
779,KARANG JAYA 1,22,2
780,KARANG LANTANG,197,13
781,KARANG MARITIM,212,14
782,KARANG MULYA,114,6
783,KARANG MULYO,101,5
784,KARANG PUCUNG,32,2
785,KARANG REJO,18,2
786,KARANG REJO,161,10
787,KARANG REJO,164,10
788,KARANG REJO I,104,5
789,KARANG REJO II,101,5
790,KARANG SAKTI,101,5
791,KARANG SARI,18,2
792,KARANG SARI,21,2
793,KARANG SARI,44,3
794,KARANG SARI,101,5
795,KARANG SARI,146,10
796,KARANG TANJUNG,44,3
797,KARANG UMPU,193,13
798,KARANG WARINGIN,107,5
799,KARANGAN,195,13
800,KARANGANYAR,115,7
801,KARANGREJO,118,7
802,KARANGREJO,229,15
803,KARANGSARI,141,9
804,KARTA,156,10
805,KARTA,187,12
806,KARTA JAYA,198,13
807,KARTA RAHARJA,187,12
808,KARTASARI,187,12
809,KARYA AGUNG,199,13
810,KARYA BASUKI,83,4
811,KARYA BHAKTI,175,11
812,KARYA CIPTA ABADI,178,11
813,KARYA JAYA,204,13
814,KARYA JITU MUKTI,178,11
815,KARYA MAJU,202,13
816,KARYA MAKMUR,68,4
817,KARYA MAKMUR,176,11
818,KARYA MULYA SARI,17,2
819,KARYA MURNI JAYA,167,11
820,KARYA SAKTI,90,5
821,KARYA TANI,68,4
822,KARYA TUNGGAL,20,2
823,KARYAMUKTI,79,4
824,KASUI LAMA,197,13
825,KASUI PASAR,197,13
826,KAUR GADING,158,10
827,KAYU BATU,196,13
828,KAYUHUBI,159,10
829,KEAGUNGAN,9,1
830,KEBAGUSAN,115,7
831,KEBON DAMAR,72,4
832,KEBON JERUK,219,14
833,KEBUAYAN,127,8
834,KEBUMEN,162,10
835,KEBUN DALAM,93,5
836,KEBUN DALEM,114,6
837,KECAPI,19,2
838,KECUBUNG JAYA,170,11
839,KECUBUNG MULYA,170,11
840,KECUBUNG RAYA,175,11
