id_SMA,nama_SMA,id_kabupaten
416,SMA NEGERI 2 TIMIJAJAR,12
417,SMA NEGERI 2 TULANG BAWANG TENGAH,12
418,SMA NEGERI 2 TULANG BAWANG UDIK,12
419,SMA NEGERI 3 TULANG BAWANG TENGAH,12
420,SMA NEGERI 3 TUMIJAJAR,12
421,SMA NEGERI PULAU LEGUNDI,7
422,SMA NEGERI WAYLIMA,2
423,SMA NURUL HIDAYAH,2
424,SMA NURUL ISLAM,14
425,SMA NURUL MUTAQIEN,11
426,SMA NUSANTARA,1
427,SMA NUSANTARA,14
428,SMA PAHLAWAN,14
429,SMA PANCAKRIDA,3
430,SMA PANCASILA SEPUTIH MATARAM,3
431,SMA PANGASTUTI BLAMBANGAN UMPU,13
432,SMA PANGUDI LUHUR,14
433,SMA PARAMARTA 1,3
434,SMA PELITA BANGUN REJO,3
435,SMA PEMBANGUNAN KALIANDA,2
436,SMA PEMBINA ABUNG TENGAH,5
437,SMA PEMBINA BUNGA MAYANG,5
438,SMA PEMBINA MENGGALA,11
439,SMA PERINTIS,5
440,SMA PERINTIS,14
441,SMA PERINTIS 2,14
442,SMA PERINTIS NEG.AGUNG,13
443,SMA PERJUANGAN,4
444,SMA PERSADA,2
445,SMA PERSADA,14
446,SMA PERSADA KETAPANG,2
447,SMA PERSIAPAN NEGERI MESUJI,11
448,SMA PERSIAPAN REBANG TANGKAS,13
449,SMA PGRI 1 ABUNG BARAT,5
450,SMA PGRI 1 BANGUNREJO,3
451,SMA PGRI 1 BATANGHARI,4
452,SMA PGRI 1 BLAMBANGAN UMPU,13
453,SMA PGRI 1 KOTABUMI,5
454,SMA PGRI 1 MARGA TIGA,4
455,SMA PGRI 1 METRO,15
456,SMA PGRI 1 PEKALONGAN,4
457,SMA PGRI 1 PUNGGUR,3
458,SMA PGRI 1 PUNGGUR,4
459,SMA PGRI 1 RAMAN UTARA,4
460,SMA PGRI 1 SEPUTIH RAMAN,3
461,SMA PGRI 1 SUKADANA,4
462,SMA PGRI 1 TALANG PADANG,10
463,SMA PGRI 1 TERBANGGI BESAR,3
464,SMA PGRI 1 TUMIJAJAR,11
465,SMA PGRI 1 WAY JEPARA,4
466,SMA PGRI 1 PADANG CERMIN,2
467,SMA PGRI 2 MARGA TIGA,4
468,SMA PGRI 2 PRINGSEWU,10
469,SMA PGRI BUKIT KEMUNING,5
470,SMA PGRI CAHAYA MAS,5
471,SMA PGRI CANDIPURO,2
472,SMA PGRI KRUI,1
473,SMA PGRI PAGELARAN,10
474,SMA PGRI PANCA MARGA GUNUNG TERANG,11
475,SMA PGRI SEPUTIH MATARAM,3
476,SMA PGRI SUBIK,5
477,SMA PGRI ULU BELU,10
478,SMA PIRI JATI AGUNG,2
479,SMA PLUS ASSALAM,5
480,SMA PLUS BANGUN JAYA,11
481,SMA PLUS KESUMA YUDHA,14
